,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
0,PSZ2 G000.04+45.13,229.190512,-1.017222,0.1198,3.962411,J1516.5-0056,RMJ151653.9-010506.3
1,PSZ2 G000.13+78.04,203.5586828,20.2559905,0.171,5.122391,J1334.1+2013,RMJ133408.7+201453.0
2,PSZ2 G000.40-41.86,316.0844846,-41.3541688,0.1651,5.297053,J2104.3-4120,                    
3,PSZ2 G000.77-35.69,307.9728437,-40.5987254,0.3416,6.333562,J2031.8-4037,                    
4,PSZ2 G002.04-22.15,291.3596104,-36.5179436,-1.0,0.0,            ,                    
5,PSZ2 G002.08-68.28,349.6324313,-36.332559,0.14,2.835297,            ,                    
6,PSZ2 G002.42+69.64,210.9933174,15.6884267,0.180518,3.510401,            ,RMJ140358.9+154409.6
7,PSZ2 G002.77-56.16,334.6594732,-38.8794056,0.1411,4.411132,J2218.6-3853,                    
8,PSZ2 G002.82+39.23,235.0151759,-3.2851353,0.1533,5.736017,J1540.1-0318,                    
9,PSZ2 G002.88-22.45,292.0147682,-35.8760934,-1.0,0.0,            ,                    
10,PSZ2 G003.21-76.04,358.3512149,-33.2932444,-1.0,0.0,            ,                    
11,PSZ2 G003.91-42.03,316.4675077,-38.7531602,0.1521,4.716204,J2106.0-3846,                    
12,PSZ2 G003.93-59.41,338.6080936,-37.7413184,0.151,7.194754,J2234.5-3744,                    
13,PSZ2 G004.04+42.23,233.2733365,-0.6754162,0.151272,3.592052,            ,RMJ153303.5-004616.5
14,PSZ2 G004.13+56.81,221.8651319,8.4516901,0.38,7.122818,J1447.4+0827,RMJ144728.1+082859.9
15,PSZ2 G004.45-19.55,289.2667301,-33.5415664,0.54,10.356931,            ,                    
16,PSZ2 G005.91-28.26,299.8068699,-34.8917777,0.1728,4.286492,J1959.1-3454,                    
17,PSZ2 G006.05+29.43,244.4061203,-7.2624651,0.2523,5.515037,            ,                    
18,PSZ2 G006.16-69.49,350.5375195,-34.5752135,-1.0,0.0,            ,                    
19,PSZ2 G006.38+62.03,218.3080283,12.4862713,0.235712,4.813953,            ,RMJ143312.4+122756.8
20,PSZ2 G006.49+50.56,227.72895,5.7681015,0.0766,7.039484,J1510.9+0543,RMJ151100.1+054658.0
