,MCXC,OName,AName,RAdeg,z,M500
0,J0000.1+0816,RXC J0000.1+0816  ,UGC 12890                                             ,0.03,0.0396,0.7373
1,J0000.4-0237,RXC J0000.4-0237  ,                                                      ,0.103,0.0379,0.3297
2,J0001.6-1540,RXC J0001.6-1540  ,                                                      ,0.412,0.1246,1.6557
5,J0003.2-3555,RXCJ0003.2-3555   ,A2717                                                 ,0.801,0.049,1.2016
7,J0004.9+1142,RXC J0004.9+1142  ,UGC 00032                                             ,1.247,0.0761,1.3009
8,J0005.3+1612,RXC J0005.3+1612  ,A2703                                                 ,1.344,0.1164,2.4929
12,J0009.7-3516,MS0007.2-3532     ,                                                      ,2.444,0.05,0.8728
19,J0014.3+0854,MS0011.7+0837     ,                                                      ,3.583,0.163,2.7218
20,J0015.4-2350,RXCJ0015.4-2350   ,A0014                                                 ,3.85,0.0645,0.9884
21,J0015.9+1614,MS0013.4+1558     ,                                                      ,3.983,0.083,0.9638
22,J0016.3-3121,RXC J0016.3-3121  ,A2751                                                 ,4.082,0.0805,1.2607
23,J0016.7+0646,RXC J0016.7+0646  ,A0016                                                 ,4.189,0.0833,0.9629
24,J0017.5-3509,RXCJ0017.5-3509   ,A2755                                                 ,4.39,0.0968,1.5291
28,J0020.1+0005,RXC J0020.1+0005  ,                                                      ,5.044,0.2124,1.3975
29,J0020.5-4913,RXC J0020.5-4913  ,A2764                                                 ,5.142,0.0711,0.873
33,J0022.0+0422,WARP J0022.0+0422 ,GHO 00190.5+0405                                      ,5.514,0.407,1.0815
34,J0023.1+0421,WARP J0023.1+0421 ,                                                      ,5.775,0.453,1.2496
35,J0024.0-1704,RXC J0024.0-1704  ,A2768                                                 ,6.015,0.189,2.2757
36,J0024.5+3312,RXC J0024.5+3312  ,                                                      ,6.133,0.226,3.3939
37,J0025.4-1222,MACSJ0025.4-1222  ,                                                      ,6.372,0.5843,4.6232
39,J0026.7+0501,WARP J0026.7+0501 ,GHO 0024+0444                                         ,6.699,0.2529,0.8595
43,J0029.0+0742,MS0026.4+0725     ,                                                      ,7.256,0.17,1.653
44,J0029.8+1330,BVH2007 1         ,                                                      ,7.461,0.251,1.511
45,J0030.5+2618,BVH2007 2         ,VMF98 1                                               ,7.64,0.5,2.6037
46,J0030.6-2410,RXC J0030.6-2410  ,A0047                                                 ,7.657,0.1382,1.6278
47,J0034.2-0204,RXC J0034.2-0204  ,SH518                                                 ,8.558,0.0822,2.193
50,J0035.9+8513,WARP J0035.9+8513 ,                                                      ,8.997,0.8317,2.1397
51,J0036.5+2544,ZwCl193           ,ZwCl193                                               ,9.149,0.0341,0.4869
53,J0037.4-2831,RXC J0037.4-2831  ,A2798                                                 ,9.363,0.105,1.3146
54,J0039.6+2114,RXC J0039.6+2114  ,A0075                                                 ,9.9,0.0619,0.7517
56,J0040.1-5607,RXCJ0040.1-5607   ,A2806                                                 ,10.027,0.0277,0.4058
57,J0040.4+2933,RXC J0040.4+2933  ,A0077                                                 ,10.114,0.0712,1.8872
58,J0041.1-2339,RX J0041.1-2339   ,VMF98 2                                               ,10.293,0.112,0.313
59,J0041.7+2124,RXC J0041.7+2124  ,A0084                                                 ,10.446,0.1014,1.9071
63,J0043.8+2424,ZwCl235           ,ZwCl235                                               ,10.967,0.083,2.8014
64,J0045.3-2924,BVH2007 3         ,                                                      ,11.328,0.257,1.6259
65,J0045.7-2515,MS0043.3-2531     ,                                                      ,11.438,0.112,0.8427
66,J0046.3+8530,WARP J0046.3+8530 ,                                                      ,11.581,0.6241,2.6212
67,J0048.6-2114,RXC J0048.6-2114  ,A2824                                                 ,12.158,0.0581,0.9497
68,J0049.4-2931,RXCJ0049.4-2931   ,S0084                                                 ,12.35,0.1084,2.3682
70,J0050.9-0929,BVH2007 4         ,VMF98 3                                               ,12.747,0.199,1.2765
73,J0052.7-8015,RXCJ0052.7-8015   ,A2837                                                 ,13.187,0.1141,3.9812
74,J0054.0-2823,RX J0054.0-2823   ,VMF98 4                                               ,13.512,0.292,0.9661
76,J0056.0-3732,BVH2007 5         ,Cl0053                                                ,14.015,0.163,2.3188
78,J0056.9-2213,BVH2007 6         ,VMF98 5                                               ,14.229,0.116,0.5389
79,J0056.9-2740,RX J0056.9-2740   ,"VMF98 6,J1888.16                                      ",14.234,0.563,1.4312
80,J0057.4-2616,BVH2007 7         ,"VMF98 7, A0122                                        ",14.353,0.113,1.7267
81,J0057.4+3012,WARP J0057.4+3012 ,                                                      ,14.373,0.123,0.3371
82,J0057.8-6648,RXCJ0057.8-6648   ,S0112                                                 ,14.45,0.0661,1.6195
83,J0058.4-1425,RXC J0058.4-1425  ,A0123                                                 ,14.618,0.0957,1.1444
84,J0058.9+2657,RXC J0058.9+2657  ,RXJ0058.9+2657                                        ,14.726,0.0451,0.8174
86,J0104.5-2400,RXC J0104.5-2400  ,A0140                                                 ,16.146,0.1603,2.2394
87,J0105.0+0201,RXC J0105.0+0201  ,IC 1613                                               ,16.26,0.1967,3.1424
88,J0105.1+3311,MS0102.3+3255     ,                                                      ,16.279,0.08,1.4819
90,J0106.8+0103,RXC J0106.8+0103  ,ZwCl348                                               ,16.709,0.2537,4.741
91,J0106.8-0229,RXCJ0106.8-0229   ,A0145                                                 ,16.718,0.1909,3.3322
92,J0106.9+3209,BVH2007 8         ,                                                      ,16.746,0.112,0.7326
93,J0107.4+3227,IV Zw 038         ,IV Zw 038                                             ,16.868,0.017,0.3972
95,J0107.8-3643,RXCJ0107.8-3643   ,A2871                                                 ,16.955,0.1186,2.0589
96,J0108.0+7558,RXC J0108.0+7558  ,                                                      ,17.005,0.096,2.5121
97,J0108.1+0210,RXCJ0108.1+0210   ,A0147                                                 ,17.048,0.0436,0.7263
98,J0108.5-4020,RXC J0108.5-4021  ,A2874                                                 ,17.138,0.1408,2.2658
100,J0108.9-1537,RXCJ0108.9-1537   ,A0151S                                                ,17.23,0.097,1.6888
102,J0110.0+1358,RXC J0110.0+1358  ,A0152                                                 ,17.523,0.0581,0.4079
103,J0110.3+1938,RX J0110.3+1938   ,VMF98 8                                               ,17.575,0.317,0.8715
104,J0110.9+3308,RXC J0110.9+3308  ,NGC 0410                                              ,17.742,0.0177,0.2153
105,J0111.6-3811,RX J0111.6-3811   ,VMF98 9                                               ,17.903,0.122,0.3124
106,J0111.7+3327,A156              ,A0156                                                 ,17.925,0.1173,1.9696
107,J0112.1+3927,MS0109.4+3910     ,                                                      ,18.036,0.208,1.1127
108,J0112.2+3302,RXC J0112.2+3302  ,                                                      ,18.072,0.1249,1.4414
109,J0113.0+1531,RXC J0113.0+1531  ,A0160                                                 ,18.274,0.0442,0.7449
110,J0113.1+2828,BVH2007 9         ,                                                      ,18.296,0.262,1.818
111,J0113.9-3145,RXC J0113.9-3145  ,S141a                                                 ,18.476,0.0191,0.1144
113,J0116.1-1555,RXC J0116.1-1555  ,SCG 16                                                ,19.049,0.0448,0.5
114,J0116.6-0330,BVH2007 10        ,                                                      ,19.165,0.081,0.4075
115,J0117.6-2238,RX J0117.6-2238   ,A2894                                                 ,19.402,0.207,0.9901
116,J0117.8-5455,RXCJ0117.8-5455   ,                                                      ,19.46,0.251,4.5164
119,J0121.9+0021,RXC J0121.9+0021  ,A0181                                                 ,20.493,0.1756,1.8755
120,J0122.6-2832,BVH2007 11        ,"VMF98 10, S0154                                       ",20.65,0.256,1.4085
121,J0122.9-1245,RXC J0122.9-1245  ,A0188                                                 ,20.73,0.123,1.4366
122,J0123.2+3327,RXJ0123.2+3327    ,RXJ0123.2+3327                                        ,20.801,0.0146,0.3624
123,J0123.6+3315,RXJ0123.6+3315    ,RXJ0123.6+3315                                        ,20.921,0.0164,0.6106
124,J0124.5+0400,RX J0124.5+0400   ,VMF98 11                                              ,21.146,0.316,0.8423
125,J0124.8+0932,BVH2007 12        ,NGC524                                                ,21.2,0.0079,0.0268
127,J0125.4+0144,A189              ,A0189                                                 ,21.353,0.0181,0.3697
128,J0125.4+0145,RXC J0125.5+0145  ,N0533                                                 ,21.374,0.0183,0.2683
129,J0125.6-0124,RXCJ0125.6-0124   ,A0194                                                 ,21.42,0.018,0.3981
130,J0126.0-3758,RXC J0126.0-3758  ,A2911                                                 ,21.519,0.081,0.9159
131,J0126.9+1912,BVH2007 13        ,"IC0115, A0195                                         ",21.727,0.0427,0.1177
132,J0127.2-1746,RXC J0127.2-1746  ,A0199                                                 ,21.808,0.1459,1.9006
133,J0128.6-4324,RX J0128.6-4324   ,VMF98 13                                              ,22.154,0.288,0.7572
134,J0131.7+0033,RXC J0131.7+0033  ,A0208                                                 ,22.927,0.0798,0.8236
136,J0132.6-0804,RXCJ0132.6-0804   ,                                                      ,23.17,0.1489,2.8084
137,J0132.9-4259,BVH2007 14        ,VMF98 14                                              ,23.228,0.0876,0.4501
