,NAME,RA,DEC,LAMBDA,Z_SPEC
0,RMJ155820.0+271400.3,239.5833290688836,27.233412917827273,169.83784,0.09080672
1,RMJ164019.8+464241.5,250.08254838650885,46.71153135360437,199.53928,-1.0
2,RMJ131129.5-012028.0,197.87295717057873,-1.3411162795331073,164.71217,-1.0
3,RMJ090912.2+105824.9,137.30074463519105,10.97359493545774,174.70418,-1.0
4,RMJ133520.1+410004.1,203.83372267931975,41.0011464409052,189.18115,0.2283087
5,RMJ003208.2+180625.3,8.034264550807734,18.107023938907663,248.38571,-1.0
6,RMJ224319.8-093530.9,340.8324758379939,-9.59192010688129,299.45935,0.439285
7,RMJ100214.1+203216.6,150.55890608070382,20.537949366927045,151.36407,0.31961888
8,RMJ082529.1+470800.9,126.37109233508451,47.133571302130925,131.57837,0.12904483
9,RMJ091753.4+514337.5,139.47258307756059,51.72709579554531,153.60655,-1.0
10,RMJ172227.2+320757.2,260.61325903724463,32.1325684169872,179.95189,0.22326326
11,RMJ004629.3+202804.8,11.622199893045263,20.46801265525455,123.355934,-1.0
12,RMJ131505.2+514902.8,198.7718158882512,51.81744555739532,152.5387,-1.0
13,RMJ170948.6+342728.3,257.4523763854611,34.457860565028746,112.78424,-1.0
14,RMJ153940.5+342527.3,234.91872006377525,34.424246265680814,151.48611,0.22800131
15,RMJ212826.3+013603.1,322.1095848383233,1.6008717051466164,189.28793,-1.0
16,RMJ092030.0+302946.8,140.12508065960202,30.496346634770482,38.690826,-1.0
17,RMJ073220.3+314120.7,113.08464441122482,31.68908325987094,120.09137,-1.0
18,RMJ092052.5+302740.3,140.21889165811075,30.461187177126508,128.64941,0.2929025
19,RMJ133359.1+201801.3,203.49639690406877,20.300356024954787,26.471594,0.17618003
20,RMJ133431.5+201217.7,203.63112096711927,20.20490487002587,73.36539,0.1755066
21,RMJ120025.3+032049.2,180.1056198836793,3.3469985100854744,103.02106,-1.0
22,RMJ094951.8+170710.6,147.4658410759847,17.119597497572737,185.38266,0.38278562
23,RMJ215336.8+174143.7,328.40346216887644,17.695479228752124,145.84177,0.23022018
24,RMJ084257.6+362159.3,130.7398189043654,36.36646003953564,139.98386,0.28228188
25,RMJ141424.1-002239.5,213.60024185108855,-0.3776437738556696,105.12624,0.1377273
26,RMJ023952.7-013418.9,39.96968588108048,-1.5719164491688047,174.6279,-1.0
27,RMJ231147.6+034107.6,347.94853803888344,3.6854539314817942,166.20715,-1.0
28,RMJ133238.4+503336.0,203.16004737928918,50.5599991282856,152.87431,-1.0
29,RMJ113613.0+400235.8,174.05435379455596,40.043272298621616,155.13205,0.29043645
30,RMJ230800.7-015543.3,347.0030591020877,-1.928682710799742,161.95102,-1.0
31,RMJ231134.0+033611.0,347.8917423292212,3.6030650951529175,20.033995,-1.0
32,RMJ164322.3+132146.8,250.84303523084736,13.36298791364368,111.212975,-1.0
33,RMJ140100.5+025149.7,210.25219989055893,2.8638091045806404,134.2785,0.2792997
34,RMJ123416.1+151508.4,188.56728230785902,15.252336618148355,136.90236,0.2879537
35,RMJ160319.0+031644.6,240.82910986199252,3.2790478607796962,132.08179,0.22219734
36,RMJ230707.5+163246.1,346.7812455876009,16.54612888089134,130.17491,-1.0
37,RMJ104729.0+151402.1,161.87087891344262,15.233911753538266,127.65784,0.20975201
38,RMJ222356.9-013459.7,335.9872250642967,-1.583257054578465,90.71029,-1.0
39,RMJ092415.4+140742.1,141.0641936219786,14.128372527625203,92.11375,0.13981904
40,RMJ233352.4+070453.8,353.4685242944783,7.0816007181938705,143.55353,-1.0
41,RMJ230822.2-021131.8,347.09261654449915,-2.192174723098411,137.75664,-1.0
42,RMJ085007.9+360413.7,132.53298436758365,36.07045918005156,160.10516,0.37636364
43,RMJ151011.7+332911.3,227.54880323874056,33.486467734774344,99.80225,-1.0
44,RMJ121218.5+273255.1,183.0770101051668,27.548647731379972,158.24406,0.35064358
45,RMJ010455.4+000336.3,16.230713631398995,0.06009308302478193,128.67992,0.2721152
