,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
7,RMJ100214.1+203216.6,150.55890608070382,20.537949366927045,0.3236771,151.36407,0.997079,0.31961888,0.0,21.571142,19.440008,17.76432,17.182882,16.82482,102.78606
18,RMJ092052.5+302740.3,140.21889165811075,30.461187177126508,0.2942456,128.64941,0.99813974,0.2929025,0.0,22.173271,19.20584,17.485807,16.92785,16.63299,83.79398
20,RMJ133431.5+201217.7,203.63112096711927,20.20490487002587,0.1714944,73.36539,1.0069054,0.1755066,0.0,20.246784,18.124199,16.902193,16.447592,16.09791,50.735218
25,RMJ141424.1-002239.5,213.60024185108855,-0.3776437738556696,0.13786592,105.12624,0.99950504,0.1377273,0.0,18.29165,16.22327,15.140005,14.719237,14.372661,76.482506
34,RMJ123416.1+151508.4,188.56728230785902,15.252336618148355,0.27977693,136.90236,1.0218881,0.2879537,0.0,22.527777,19.839067,18.189487,17.609932,17.262325,94.968605
48,RMJ124922.1+494742.1,192.34208293620435,49.79503970710243,0.2872477,129.30537,0.99474806,0.28635317,0.0,20.794405,18.93353,17.312283,16.730701,16.402046,84.32805
64,RMJ233427.2+065146.0,353.61341183826477,6.862783311139915,0.30980498,137.60408,0.99231446,0.295352,0.0,20.685202,19.082613,17.381073,16.803356,16.410904,98.33771
68,RMJ013716.8+075256.1,24.320160126077667,7.882243008341106,0.28412765,100.19888,1.0276889,0.2576128,0.0,22.844526,19.949362,18.452885,17.904272,17.580954,60.75095
81,RMJ132724.2+534656.5,201.85063858272576,53.78234929625666,0.38597882,120.82361,1.0246546,0.41126522,0.0,24.598787,20.50731,18.667418,18.023848,17.557123,80.7847
88,RMJ215021.3-084718.3,327.5889258928229,-8.788427356281481,0.3856206,150.64708,1.1650488,0.39517346,0.0,24.300735,19.761198,18.107422,17.436401,16.989004,87.619865
91,RMJ152745.8+065233.6,231.94095862197884,6.876006759440544,0.37996796,131.86821,1.0631683,0.3872452,0.0,22.570927,20.040192,18.393223,17.761814,17.316757,85.36496
92,RMJ021952.2+012952.2,34.96731211051281,1.4978336251720632,0.36417052,127.03239,1.0200925,0.365013,0.0,22.234655,19.607744,17.849936,17.252018,16.823156,79.78328
101,RMJ151514.1+042310.4,228.8087976940228,4.386217797780727,0.10217465,75.729904,1.0055288,0.094680585,0.0,18.225283,16.1714,15.20759,14.833733,14.531398,65.65809
105,RMJ075613.3+301356.4,119.05552323533595,30.232331627634416,0.39139116,147.03166,1.1457872,0.44108585,0.0,22.438946,20.048708,18.088467,17.296005,16.97624,100.19917
107,RMJ231912.2-022704.4,349.80081010272477,-2.4512182171440147,0.11038379,70.10082,1.0201013,0.10932119,0.0,19.37486,17.282131,16.251406,15.832551,15.496131,45.253544
110,RMJ153641.2-020125.2,234.1717837489919,-2.0236755390906205,0.13844842,81.95393,1.0038015,0.14353341,0.0,19.315454,17.560072,16.472218,16.034554,15.699304,60.124977
117,RMJ143026.4+243711.3,217.60998832428777,24.619803823594072,0.13736627,78.32325,0.9999825,0.13557237,0.0,19.448776,17.61797,16.610567,16.204803,15.887005,63.466545
