,Unnamed: 0,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
0,7,RMJ100214.1+203216.6,150.55890608070382,20.537949366927048,0.3236771,151.36407,0.997079,0.31961888,0.0,21.571142000000002,19.440008,17.76432,17.182882,16.824820000000003,102.78605999999999
1,11,RMJ004629.3+202804.8,11.622199893045266,20.46801265525455,0.10396612400000001,123.355934,1.0065434000000002,-1.0,0.0,18.234732,16.058546,15.022212,14.60104,14.229931,86.0485
3,18,RMJ092052.5+302740.3,140.21889165811078,30.46118717712651,0.29424559999999994,128.64941000000002,0.99813974,0.2929025,0.0,22.173271,19.20584,17.485807,16.92785,16.63299,83.79398
4,20,RMJ133431.5+201217.7,203.6311209671193,20.20490487002587,0.1714944,73.36539,1.0069054,0.1755066,0.0,20.246783999999998,18.124199,16.902193,16.447592,16.09791,50.735217999999996
5,25,RMJ141424.1-002239.5,213.60024185108853,-0.3776437738556696,0.13786592,105.12624,0.99950504,0.1377273,0.0,18.29165,16.22327,15.140004999999999,14.719237,14.372660999999999,76.482506
6,27,RMJ231147.6+034107.6,347.94853803888344,3.685453931481794,0.30071348,166.20715,1.0063434000000002,-1.0,0.0,22.271101,19.772509,18.160252,17.583206,17.228146,122.52561999999999
7,32,RMJ164322.3+132146.8,250.84303523084736,13.36298791364368,0.18733467,111.212975,1.0130641,-1.0,0.0,20.782547,18.142845,16.885592000000003,16.3875,16.14734,82.81728000000001
8,34,RMJ123416.1+151508.4,188.56728230785905,15.252336618148355,0.27977693,136.90236000000002,1.0218881,0.28795370000000003,0.0,22.527777,19.839067,18.189487,17.609932,17.262325,94.96860500000001
9,48,RMJ124922.1+494742.1,192.34208293620438,49.79503970710243,0.28724770000000005,129.30536999999998,0.99474806,0.28635317,0.0,20.794404999999998,18.933529999999998,17.312282999999997,16.730701,16.402046,84.32805
10,51,RMJ232214.8+283115.4,350.5614916018482,28.52093384874184,0.38749996,163.93417,1.1721603999999999,-1.0,0.0,26.238625,19.849434,17.98838,17.265718,17.01596,103.36564
11,59,RMJ130650.0+463333.4,196.70831678088703,46.559272810847816,0.22913617,122.379616,1.0275583000000001,-1.0,0.0,19.771725,17.59669,16.161217,15.641304000000002,15.339844,88.96
12,64,RMJ233427.2+065146.0,353.6134118382648,6.862783311139915,0.30980498,137.60408,0.99231446,0.295352,0.0,20.685202,19.082613000000002,17.381073,16.803356,16.410904000000002,98.33771
13,68,RMJ013716.8+075256.1,24.32016012607767,7.882243008341106,0.28412765,100.19888,1.0276889,0.2576128,0.0,22.844526000000002,19.949362,18.452885000000002,17.904272,17.580954000000002,60.75095
15,79,RMJ222602.2+172247.1,336.5092849539111,17.379739277262658,0.11359597,74.28068499999999,1.0099313,-1.0,0.0,19.022427,16.95521,15.911219000000001,15.475520999999999,15.149356,55.628624
16,81,RMJ132724.2+534656.5,201.85063858272576,53.782349296256655,0.38597882,120.82361000000002,1.0246546,0.41126522,0.0,24.598786999999998,20.50731,18.667417999999998,18.023848,17.557123,80.7847
17,88,RMJ215021.3-084718.3,327.5889258928229,-8.788427356281481,0.3856206,150.64708000000002,1.1650488,0.39517346,0.0,24.300735,19.761198,18.107422,17.436401,16.989004,87.619865
18,91,RMJ152745.8+065233.6,231.94095862197884,6.876006759440544,0.37996796,131.86821,1.0631683,0.3872452,0.0,22.570926999999998,20.040192,18.393223000000003,17.761814,17.316757,85.36496
19,92,RMJ021952.2+012952.2,34.96731211051281,1.4978336251720632,0.36417052,127.03238999999999,1.0200924999999998,0.36501300000000003,0.0,22.234655,19.607744,17.849936,17.252018,16.823156,79.78328
20,101,RMJ151514.1+042310.4,228.80879769402281,4.386217797780727,0.10217465,75.729904,1.0055288,0.094680585,0.0,18.225282999999997,16.1714,15.20759,14.833732999999999,14.531398000000001,65.65809
21,102,RMJ155953.9+220822.7,239.97459324946618,22.139645502545577,0.40253094,152.05053999999998,1.1436264999999999,-1.0,0.0,26.81376,20.720154,19.156852999999998,18.483028,18.130978,101.21696
