,MCXC,OName,AName,RAdeg,DEdeg,z,M500
0,J0000.1+0816,RXC J0000.1+0816  ,UGC 12890                                             ,0.03,8.274,0.0396,0.7373
1,J0000.4-0237,RXC J0000.4-0237  ,                                                      ,0.103,-2.625,0.0379,0.3297
2,J0001.6-1540,RXC J0001.6-1540  ,                                                      ,0.412,-15.681,0.1246,1.6557
3,J0001.9+1204,RXC J0001.9+1204  ,A2692                                                 ,0.488,12.073,0.2033,2.6927
4,J0003.1-0605,RXCJ0003.1-0605   ,A2697                                                 ,0.799,-6.086,0.232,5.2188
5,J0003.2-3555,RXCJ0003.2-3555   ,A2717                                                 ,0.801,-35.927,0.049,1.2016
6,J0003.8+0203,RXCJ0003.8+0203   ,A2700                                                 ,0.961,2.063,0.0924,1.7342
7,J0004.9+1142,RXC J0004.9+1142  ,UGC 00032                                             ,1.247,11.701,0.0761,1.3009
8,J0005.3+1612,RXC J0005.3+1612  ,A2703                                                 ,1.344,16.211,0.1164,2.4929
9,J0006.0-3443,RXCJ0006.0-3443   ,A2721                                                 ,1.513,-34.724,0.1147,2.7122
10,J0006.3+1052,RXC J0006.3+1052  ,ZwCl15                                                ,1.591,10.868,0.1698,2.9941
11,J0008.9+4110,ZwCl28            ,ZwCl28                                                ,2.237,41.177,0.1537,2.8963
12,J0009.7-3516,MS0007.2-3532     ,                                                      ,2.444,-35.275,0.05,0.8728
13,J0011.3-2851,RXCJ0011.3-2851   ,A2734                                                 ,2.836,-28.855,0.062,2.0611
14,J0011.7-1523,MACSJ0011.7-1523  ,                                                      ,2.928,-15.389,0.378,7.2
15,J0011.7+3225,RXC J0011.7+3225  ,A0007                                                 ,2.935,32.417,0.1073,3.3785
16,J0013.6-1930,RXCJ0013.6-1930   ,A0013                                                 ,3.409,-19.502,0.094,2.1818
17,J0014.3-6604,RXCJ0014.3-6604   ,A2746                                                 ,3.577,-66.077,0.1599,3.4455
18,J0014.3-3023,RXCJ0014.3-3023   ,A2744                                                 ,3.578,-30.383,0.3066,7.3614
19,J0014.3+0854,MS0011.7+0837     ,                                                      ,3.583,8.9,0.163,2.7218
20,J0015.4-2350,RXCJ0015.4-2350   ,A0014                                                 ,3.85,-23.845,0.0645,0.9884
21,J0015.9+1614,MS0013.4+1558     ,                                                      ,3.983,16.249,0.083,0.9638
22,J0016.3-3121,RXC J0016.3-3121  ,A2751                                                 ,4.082,-31.365,0.0805,1.2607
23,J0016.7+0646,RXC J0016.7+0646  ,A0016                                                 ,4.189,6.774,0.0833,0.9629
24,J0017.5-3509,RXCJ0017.5-3509   ,A2755                                                 ,4.39,-35.165,0.0968,1.5291
25,J0018.5+1626,MACSJ0018.5+1626  ,CL 0016+1609                                          ,4.641,16.438,0.5456,7.7847
26,J0019.0-2026,RXC J0019.0-2026  ,S0026                                                 ,4.766,-20.438,0.2773,4.7634
27,J0019.6+2517,RXC J0019.6+2517  ,                                                      ,4.913,25.291,0.1353,2.3266
28,J0020.1+0005,RXC J0020.1+0005  ,                                                      ,5.044,0.092,0.2124,1.3975
29,J0020.5-4913,RXC J0020.5-4913  ,A2764                                                 ,5.142,-49.228,0.0711,0.873
30,J0020.6+2840,RXC J0020.6+2840  ,A0021                                                 ,5.17,28.675,0.094,2.389
31,J0020.7-2542,RXCJ0020.7-2542   ,A0022                                                 ,5.179,-25.71,0.141,3.5275
32,J0021.5+2803,RXC J0021.5+2803  ,IV Zw 015                                             ,5.4,28.051,0.0948,1.8782
33,J0022.0+0422,WARP J0022.0+0422 ,GHO 00190.5+0405                                      ,5.514,4.377,0.407,1.0815
34,J0023.1+0421,WARP J0023.1+0421 ,                                                      ,5.775,4.354,0.453,1.2496
35,J0024.0-1704,RXC J0024.0-1704  ,A2768                                                 ,6.015,-17.076,0.189,2.2757
36,J0024.5+3312,RXC J0024.5+3312  ,                                                      ,6.133,33.209,0.226,3.3939
37,J0025.4-1222,MACSJ0025.4-1222  ,                                                      ,6.372,-12.377,0.5843,4.6232
38,J0025.5-3302,RXCJ0025.5-3302   ,S0041                                                 ,6.385,-33.047,0.0491,1.2872
39,J0026.7+0501,WARP J0026.7+0501 ,GHO 0024+0444                                         ,6.699,5.024,0.2529,0.8595
40,J0027.3-5015,RXCJ0027.3-5015   ,A2777                                                 ,6.839,-50.251,0.1448,2.9603
41,J0027.8+2616,RXC J0027.8+2616  ,RXJ0027.6+2616                                        ,6.957,26.274,0.3668,5.6843
42,J0028.6-2338,RXCJ0028.6-2338   ,A0042                                                 ,7.164,-23.637,0.112,2.3285
43,J0029.0+0742,MS0026.4+0725     ,                                                      ,7.256,7.703,0.17,1.653
44,J0029.8+1330,BVH2007 1         ,                                                      ,7.461,13.504,0.251,1.511
45,J0030.5+2618,BVH2007 2         ,VMF98 1                                               ,7.64,26.304,0.5,2.6037
46,J0030.6-2410,RXC J0030.6-2410  ,A0047                                                 ,7.657,-24.181,0.1382,1.6278
47,J0034.2-0204,RXC J0034.2-0204  ,SH518                                                 ,8.558,-2.075,0.0822,2.193
48,J0034.6-0208,RXCJ0034.6-0208   ,                                                      ,8.65,-2.14,0.0812,2.2202
49,J0035.4-2015,MACSJ0035.4-2015  ,                                                      ,8.859,-20.263,0.352,10.2
50,J0035.9+8513,WARP J0035.9+8513 ,                                                      ,8.997,85.221,0.8317,2.1397
51,J0036.5+2544,ZwCl193           ,ZwCl193                                               ,9.149,25.744,0.0341,0.4869
52,J0037.0+0909,A68               ,A0068                                                 ,9.272,9.153,0.2546,5.9801
53,J0037.4-2831,RXC J0037.4-2831  ,A2798                                                 ,9.363,-28.531,0.105,1.3146
54,J0039.6+2114,RXC J0039.6+2114  ,A0075                                                 ,9.9,21.239,0.0619,0.7517
55,J0040.0+0649,A76               ,A0076                                                 ,10.002,6.818,0.0395,0.9933
56,J0040.1-5607,RXCJ0040.1-5607   ,A2806                                                 ,10.027,-56.117,0.0277,0.4058
57,J0040.4+2933,RXC J0040.4+2933  ,A0077                                                 ,10.114,29.559,0.0712,1.8872
58,J0041.1-2339,RX J0041.1-2339   ,VMF98 2                                               ,10.293,-23.659,0.112,0.313
59,J0041.7+2124,RXC J0041.7+2124  ,A0084                                                 ,10.446,21.414,0.1014,1.9071
60,J0041.8-0918,RXCJ0041.8-0918   ,A0085                                                 ,10.459,-9.302,0.0555,5.3163
61,J0042.1-2832,RXCJ0042.1-2832   ,A2811                                                 ,10.536,-28.536,0.1082,3.5046
62,J0043.4-2037,RXCJ0043.4-2037   ,A2813                                                 ,10.852,-20.621,0.2924,5.3663
63,J0043.8+2424,ZwCl235           ,ZwCl235                                               ,10.967,24.402,0.083,2.8014
64,J0045.3-2924,BVH2007 3         ,                                                      ,11.328,-29.401,0.257,1.6259
65,J0045.7-2515,MS0043.3-2531     ,                                                      ,11.438,-25.262,0.112,0.8427
66,J0046.3+8530,WARP J0046.3+8530 ,                                                      ,11.581,85.516,0.6241,2.6212
67,J0048.6-2114,RXC J0048.6-2114  ,A2824                                                 ,12.158,-21.247,0.0581,0.9497
68,J0049.4-2931,RXCJ0049.4-2931   ,S0084                                                 ,12.35,-29.524,0.1084,2.3682
69,J0049.8+2426,A104              ,A0104                                                 ,12.452,24.441,0.0815,1.9841
70,J0050.9-0929,BVH2007 4         ,VMF98 3                                               ,12.747,-9.487,0.199,1.2765
71,J0051.1-4833,RXC J0051.1-4833  ,A2830                                                 ,12.797,-48.56,0.1873,2.7638
72,J0051.3-2831,RXC J0051.3-2831  ,A2829                                                 ,12.83,-28.519,0.1125,1.5303
73,J0052.7-8015,RXCJ0052.7-8015   ,A2837                                                 ,13.187,-80.266,0.1141,3.9812
74,J0054.0-2823,RX J0054.0-2823   ,VMF98 4                                               ,13.512,-28.399,0.292,0.9661
75,J0055.9+2622,A115              ,A0115                                                 ,13.999,26.378,0.1971,6.0676
76,J0056.0-3732,BVH2007 5         ,Cl0053                                                ,14.015,-37.545,0.163,2.3188
77,J0056.3-0112,RXCJ0056.3-0112   ,A0119                                                 ,14.076,-1.217,0.0442,2.4747
78,J0056.9-2213,BVH2007 6         ,VMF98 5                                               ,14.229,-22.231,0.116,0.5389
79,J0056.9-2740,RX J0056.9-2740   ,"VMF98 6,J1888.16                                      ",14.234,-27.67,0.563,1.4312
80,J0057.4-2616,BVH2007 7         ,"VMF98 7, A0122                                        ",14.353,-26.281,0.113,1.7267
81,J0057.4+3012,WARP J0057.4+3012 ,                                                      ,14.373,30.214,0.123,0.3371
82,J0057.8-6648,RXCJ0057.8-6648   ,S0112                                                 ,14.45,-66.812,0.0661,1.6195
83,J0058.4-1425,RXC J0058.4-1425  ,A0123                                                 ,14.618,-14.427,0.0957,1.1444
84,J0058.9+2657,RXC J0058.9+2657  ,RXJ0058.9+2657                                        ,14.726,26.951,0.0451,0.8174
85,J0102.7-2152,RXCJ0102.7-2152   ,A0133                                                 ,15.675,-21.874,0.0569,2.4774
86,J0104.5-2400,RXC J0104.5-2400  ,A0140                                                 ,16.146,-24.0,0.1603,2.2394
87,J0105.0+0201,RXC J0105.0+0201  ,IC 1613                                               ,16.26,2.03,0.1967,3.1424
88,J0105.1+3311,MS0102.3+3255     ,                                                      ,16.279,33.19,0.08,1.4819
89,J0105.5-2439,RXCJ0105.5-2439   ,A0141                                                 ,16.395,-24.655,0.23,4.7167
90,J0106.8+0103,RXC J0106.8+0103  ,ZwCl348                                               ,16.709,1.055,0.2537,4.741
91,J0106.8-0229,RXCJ0106.8-0229   ,A0145                                                 ,16.718,-2.49,0.1909,3.3322
92,J0106.9+3209,BVH2007 8         ,                                                      ,16.746,32.158,0.112,0.7326
93,J0107.4+3227,IV Zw 038         ,IV Zw 038                                             ,16.868,32.462,0.017,0.3972
94,J0107.7+5408,RXC J0107.7+5408  ,ZwCl 0104.9+5350                                      ,16.949,54.142,0.1066,3.5609
95,J0107.8-3643,RXCJ0107.8-3643   ,A2871                                                 ,16.955,-36.727,0.1186,2.0589
96,J0108.0+7558,RXC J0108.0+7558  ,                                                      ,17.005,75.978,0.096,2.5121
97,J0108.1+0210,RXCJ0108.1+0210   ,A0147                                                 ,17.048,2.176,0.0436,0.7263
98,J0108.5-4020,RXC J0108.5-4021  ,A2874                                                 ,17.138,-40.35,0.1408,2.2658
99,J0108.8-1524,RXCJ0108.8-1524   ,A0151N                                                ,17.209,-15.41,0.0533,1.2778
100,J0108.9-1537,RXCJ0108.9-1537   ,A0151S                                                ,17.23,-15.629,0.097,1.6888
101,J0110.0-4555,RXCJ0110.0-4555   ,A2877                                                 ,17.501,-45.923,0.0238,0.7103
102,J0110.0+1358,RXC J0110.0+1358  ,A0152                                                 ,17.523,13.98,0.0581,0.4079
103,J0110.3+1938,RX J0110.3+1938   ,VMF98 8                                               ,17.575,19.64,0.317,0.8715
104,J0110.9+3308,RXC J0110.9+3308  ,NGC 0410                                              ,17.742,33.149,0.0177,0.2153
105,J0111.6-3811,RX J0111.6-3811   ,VMF98 9                                               ,17.903,-38.187,0.122,0.3124
106,J0111.7+3327,A156              ,A0156                                                 ,17.925,33.453,0.1173,1.9696
107,J0112.1+3927,MS0109.4+3910     ,                                                      ,18.036,39.455,0.208,1.1127
108,J0112.2+3302,RXC J0112.2+3302  ,                                                      ,18.072,33.038,0.1249,1.4414
109,J0113.0+1531,RXC J0113.0+1531  ,A0160                                                 ,18.274,15.517,0.0442,0.7449
110,J0113.1+2828,BVH2007 9         ,                                                      ,18.296,28.471,0.262,1.818
111,J0113.9-3145,RXC J0113.9-3145  ,S141a                                                 ,18.476,-31.752,0.0191,0.1144
112,J0115.2+0019,RXCJ0115.2+0019   ,A0168                                                 ,18.8,0.33,0.045,1.2471
113,J0116.1-1555,RXC J0116.1-1555  ,SCG 16                                                ,19.049,-15.923,0.0448,0.5
114,J0116.6-0330,BVH2007 10        ,                                                      ,19.165,-3.503,0.081,0.4075
115,J0117.6-2238,RX J0117.6-2238   ,A2894                                                 ,19.402,-22.637,0.207,0.9901
116,J0117.8-5455,RXCJ0117.8-5455   ,                                                      ,19.46,-54.924,0.251,4.5164
117,J0118.1-2658,RXCJ0118.1-2658   ,A2895                                                 ,19.546,-26.973,0.2275,4.6241
118,J0120.9-1351,RXCJ0120.9-1351   ,CAN 010                                               ,20.246,-13.858,0.0519,1.6737
119,J0121.9+0021,RXC J0121.9+0021  ,A0181                                                 ,20.493,0.357,0.1756,1.8755
120,J0122.6-2832,BVH2007 11        ,"VMF98 10, S0154                                       ",20.65,-28.535,0.256,1.4085
121,J0122.9-1245,RXC J0122.9-1245  ,A0188                                                 ,20.73,-12.764,0.123,1.4366
122,J0123.2+3327,RXJ0123.2+3327    ,RXJ0123.2+3327                                        ,20.801,33.461,0.0146,0.3624
123,J0123.6+3315,RXJ0123.6+3315    ,RXJ0123.6+3315                                        ,20.921,33.261,0.0164,0.6106
124,J0124.5+0400,RX J0124.5+0400   ,VMF98 11                                              ,21.146,4.014,0.316,0.8423
125,J0124.8+0932,BVH2007 12        ,NGC524                                                ,21.2,9.541,0.0079,0.0268
126,J0125.0+0841,A193              ,A0193                                                 ,21.266,8.688,0.0491,1.7624
127,J0125.4+0144,A189              ,A0189                                                 ,21.353,1.741,0.0181,0.3697
128,J0125.4+0145,RXC J0125.5+0145  ,N0533                                                 ,21.374,1.763,0.0183,0.2683
129,J0125.6-0124,RXCJ0125.6-0124   ,A0194                                                 ,21.42,-1.407,0.018,0.3981
130,J0126.0-3758,RXC J0126.0-3758  ,A2911                                                 ,21.519,-37.977,0.081,0.9159
131,J0126.9+1912,BVH2007 13        ,"IC0115, A0195                                         ",21.727,19.212,0.0427,0.1177
132,J0127.2-1746,RXC J0127.2-1746  ,A0199                                                 ,21.808,-17.771,0.1459,1.9006
133,J0128.6-4324,RX J0128.6-4324   ,VMF98 13                                              ,22.154,-43.416,0.288,0.7572
134,J0131.7+0033,RXC J0131.7+0033  ,A0208                                                 ,22.927,0.562,0.0798,0.8236
135,J0131.8-1336,RXCJ0131.8-1336   ,A0209                                                 ,22.971,-13.609,0.206,5.1051
136,J0132.6-0804,RXCJ0132.6-0804   ,                                                      ,23.17,-8.072,0.1489,2.8084
137,J0132.9-4259,BVH2007 14        ,VMF98 14                                              ,23.228,-42.996,0.0876,0.4501
138,J0136.4-1811,RX J0136.4-1811   ,VMF98 15                                              ,24.101,-18.2,0.251,0.5044
139,J0137.2-0912,RXCJ0137.2-0912   ,                                                      ,24.314,-9.203,0.0409,0.9472
140,J0137.4-1259,RXC J0137.4-1259  ,A0222                                                 ,24.372,-12.986,0.2143,2.6543
141,J0137.9-1248,RXC J0137.9-1248  ,A0223                                                 ,24.485,-12.8,0.2108,3.03
142,J0139.6+0119,RX J0139.6+0119   ,VMF98 16                                              ,24.915,1.324,0.255,0.8307
143,J0139.8+1810,BVH2007 15        ,"VMF98 17, A0227                                       ",24.974,18.169,0.176,0.9316
144,J0141.5-3034,BVH2007 16        ,                                                      ,25.385,-30.578,0.442,2.6969
145,J0142.0+2131,RXJ0142.0+2131    ,RXJ0142.0+2131                                        ,25.511,21.522,0.2803,4.7601
146,J0142.8+2025,BVH2007 17        ,VMF98 18                                              ,25.711,20.42,0.271,1.4658
147,J0142.9+4438,RXC J0142.9+4438  ,                                                      ,25.739,44.644,0.341,7.6442
148,J0144.4+0212,RX J0144.4+0212   ,VMF98 19                                              ,26.121,2.21,0.166,0.4944
149,J0144.6-2213,RXC J0144.6-2213  ,A2938                                                 ,26.174,-22.229,0.2781,3.6857
