,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
1,1,RMJ164019.8+464241.5,250.08254838650882,46.711531353604364,199.53928,-1.0
2,2,RMJ131129.5-012028.0,197.87295717057876,-1.3411162795331073,164.71217,-1.0
3,3,RMJ090912.2+105824.9,137.30074463519105,10.97359493545774,174.70418,-1.0
5,5,RMJ003208.2+180625.3,8.034264550807734,18.107023938907663,248.38571000000002,-1.0
7,7,RMJ100214.1+203216.6,150.55890608070382,20.537949366927048,151.36407,0.31961888
9,9,RMJ091753.4+514337.5,139.47258307756059,51.72709579554531,153.60655,-1.0
11,11,RMJ004629.3+202804.8,11.622199893045266,20.46801265525455,123.355934,-1.0
12,12,RMJ131505.2+514902.8,198.77181588825118,51.817445557395324,152.5387,-1.0
13,13,RMJ170948.6+342728.3,257.4523763854611,34.457860565028746,112.78424,-1.0
15,15,RMJ212826.3+013603.1,322.1095848383233,1.6008717051466164,189.28793000000002,-1.0
17,17,RMJ073220.3+314120.7,113.0846444112248,31.68908325987094,120.09137,-1.0
21,21,RMJ120025.3+032049.2,180.1056198836793,3.3469985100854744,103.02105999999999,-1.0
26,26,RMJ023952.7-013418.9,39.96968588108047,-1.571916449168805,174.6279,-1.0
27,27,RMJ231147.6+034107.6,347.94853803888344,3.685453931481794,166.20715,-1.0
28,28,RMJ133238.4+503336.0,203.16004737928918,50.5599991282856,152.87431,-1.0
29,29,RMJ113613.0+400235.8,174.05435379455596,40.043272298621616,155.13205,0.29043645
30,30,RMJ230800.7-015543.3,347.0030591020877,-1.928682710799742,161.95102,-1.0
32,32,RMJ164322.3+132146.8,250.84303523084736,13.36298791364368,111.212975,-1.0
35,35,RMJ160319.0+031644.6,240.82910986199246,3.279047860779696,132.08178999999998,0.22219734
36,36,RMJ230707.5+163246.1,346.78124558760084,16.546128880891338,130.17491,-1.0
38,38,RMJ222356.9-013459.7,335.9872250642967,-1.5832570545784652,90.71029,-1.0
40,40,RMJ233352.4+070453.8,353.4685242944783,7.081600718193871,143.55353,-1.0
41,41,RMJ230822.2-021131.8,347.0926165444992,-2.192174723098411,137.75664,-1.0
43,43,RMJ151011.7+332911.3,227.5488032387406,33.486467734774344,99.80225,-1.0
45,45,RMJ010455.4+000336.3,16.230713631398995,0.060093083024781925,128.67991999999998,0.2721152
46,46,RMJ221840.3-034647.7,334.6680863814606,-3.7799258814011765,85.43207,-1.0
47,47,RMJ224158.1+173303.7,340.492031496632,17.551036322700483,126.30015,-1.0
48,48,RMJ124922.1+494742.1,192.34208293620438,49.79503970710243,129.30536999999998,0.28635317
50,50,RMJ120112.2+230557.3,180.3008278719465,23.09925038899426,131.34955,-1.0
51,51,RMJ232214.8+283115.4,350.5614916018482,28.52093384874184,163.93417,-1.0
54,54,RMJ211849.1+003337.2,319.70445737476336,0.5603428343103302,120.28969,0.27648670000000003
55,55,RMJ005600.3+262032.3,14.001076223842913,26.342296732877532,112.92153,-1.0
57,57,RMJ112358.8+212849.7,170.99501800005066,21.480468465308213,113.59275,-1.0
58,58,RMJ101734.3+593339.8,154.39302393136964,59.561061039218615,123.76782,-1.0
59,59,RMJ130650.0+463333.4,196.70831678088703,46.559272810847816,122.379616,-1.0
60,60,RMJ150019.5+212209.9,225.0813242549216,21.36941389251641,91.82390600000001,-1.0
65,65,RMJ215608.6+012327.4,329.0357865399938,1.39094264498456,115.48437,-1.0
66,66,RMJ132701.0+021219.5,201.75420950276046,2.2054218806332626,115.16402,0.26011485
68,68,RMJ013716.8+075256.1,24.32016012607767,7.882243008341106,100.19888,0.2576128
