,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
4,PSZ2 G002.04-22.15,291.3596104,-36.5179436,-1.0,0.0,            ,                    
9,PSZ2 G002.88-22.45,292.0147682,-35.8760934,-1.0,0.0,            ,                    
10,PSZ2 G003.21-76.04,358.3512149,-33.2932444,-1.0,0.0,            ,                    
18,PSZ2 G006.16-69.49,350.5375195,-34.5752135,-1.0,0.0,            ,                    
26,PSZ2 G007.67-43.18,318.179579,-36.0843971,-1.0,0.0,            ,                    
30,PSZ2 G008.70-31.44,304.2413269,-33.32638,-1.0,0.0,            ,                    
33,PSZ2 G009.04+31.09,244.5860131,-4.1892994,-1.0,0.0,            ,                    
35,PSZ2 G010.76-16.91,288.9423815,-26.9947969,-1.0,0.0,            ,                    
38,PSZ2 G011.36-72.93,354.0538503,-32.1343132,-1.0,0.0,            ,                    
40,PSZ2 G011.92-63.53,342.9760369,-33.3941814,-1.0,0.0,            ,                    
43,PSZ2 G013.06-75.46,356.8526134,-31.1508624,-1.0,0.0,            ,                    
47,PSZ2 G014.72-62.49,341.6334404,-32.2011155,-1.0,0.0,            ,                    
49,PSZ2 G017.25-70.71,351.1688847,-30.6510697,-1.0,0.0,            ,                    
50,PSZ2 G017.72-51.40,328.7492675,-30.1324674,-1.0,0.0,            ,                    
51,PSZ2 G018.06-36.38,311.9957084,-27.0195059,-1.0,0.0,            ,                    
55,PSZ2 G018.64-83.11,5.2542949,-28.621724,-1.0,0.0,            ,                    
57,PSZ2 G018.73-15.49,290.7770614,-19.3991765,-1.0,0.0,            ,                    
58,PSZ2 G018.76-61.65,340.6369626,-30.3150463,-1.0,0.0,            ,                    
60,PSZ2 G018.92-33.64,309.2781317,-25.5929829,-1.0,0.0,            ,                    
64,PSZ2 G020.21-36.84,313.008337,-25.4826159,-1.0,0.0,            ,                    
65,PSZ2 G020.49-47.35,324.4985053,-27.7270179,-1.0,0.0,            ,                    
67,PSZ2 G021.02-29.04,305.1024838,-22.447902,-1.0,0.0,            ,                    
71,PSZ2 G022.03+17.75,262.1523015,-1.2175534,-1.0,0.0,            ,                    
74,PSZ2 G023.05+20.52,260.1954405,0.9684972,-1.0,0.0,            ,                    
77,PSZ2 G023.87-13.88,291.3960142,-14.2055305,-1.0,0.0,            ,                    
79,PSZ2 G024.46-18.08,295.5950788,-15.435756,-1.0,0.0,            ,                    
80,PSZ2 G025.02-41.49,319.0394079,-23.1940252,-1.0,0.0,            ,                    
81,PSZ2 G025.07-78.64,0.0902461,-28.1002628,-1.0,0.0,            ,                    
83,PSZ2 G025.89-46.67,324.677505,-23.9849329,-1.0,0.0,            ,                    
84,PSZ2 G026.09-25.62,303.4277679,-17.0251996,-1.0,0.0,            ,                    
85,PSZ2 G026.34-58.64,337.6571827,-26.2663523,-1.0,0.0,            ,                    
87,PSZ2 G027.23+15.73,266.2912277,2.2181935,-1.0,0.0,            ,                    
88,PSZ2 G027.28+23.79,259.1370903,5.9641825,-1.0,0.0,            ,                    
89,PSZ2 G027.39+15.39,266.6611649,2.1910506,-1.0,0.0,            ,                    
90,PSZ2 G027.77+10.88,270.8407059,0.4326642,-1.0,0.0,            ,                    
91,PSZ2 G027.77-49.72,328.2464403,-23.5522864,-1.0,0.0,            ,                    
92,PSZ2 G027.81-45.93,324.2875033,-22.5132554,-1.0,0.0,            ,                    
