,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
7,RMJ100214.1+203216.6,150.55890608070382,20.537949366927045,0.3236771,151.36407,0.997079,0.31961888,0.0,21.571142,19.440008,17.76432,17.182882,16.82482,102.78606
11,RMJ004629.3+202804.8,11.622199893045263,20.46801265525455,0.103966124,123.355934,1.0065434,-1.0,0.0,18.234732,16.058546,15.022212,14.60104,14.229931,86.0485
16,RMJ092030.0+302946.8,140.12508065960202,30.496346634770482,0.30510542,38.690826,0.99542797,-1.0,0.0,24.478506,20.919626,19.318394,18.665712,18.465912,27.625439
18,RMJ092052.5+302740.3,140.21889165811075,30.461187177126508,0.2942456,128.64941,0.99813974,0.2929025,0.0,22.173271,19.20584,17.485807,16.92785,16.63299,83.79398
20,RMJ133431.5+201217.7,203.63112096711927,20.20490487002587,0.1714944,73.36539,1.0069054,0.1755066,0.0,20.246784,18.124199,16.902193,16.447592,16.09791,50.735218
25,RMJ141424.1-002239.5,213.60024185108855,-0.3776437738556696,0.13786592,105.12624,0.99950504,0.1377273,0.0,18.29165,16.22327,15.140005,14.719237,14.372661,76.482506
27,RMJ231147.6+034107.6,347.94853803888344,3.6854539314817942,0.30071348,166.20715,1.0063434,-1.0,0.0,22.271101,19.772509,18.160252,17.583206,17.228146,122.52562
32,RMJ164322.3+132146.8,250.84303523084736,13.36298791364368,0.18733467,111.212975,1.0130641,-1.0,0.0,20.782547,18.142845,16.885592,16.3875,16.14734,82.81728
34,RMJ123416.1+151508.4,188.56728230785902,15.252336618148355,0.27977693,136.90236,1.0218881,0.2879537,0.0,22.527777,19.839067,18.189487,17.609932,17.262325,94.968605
48,RMJ124922.1+494742.1,192.34208293620435,49.79503970710243,0.2872477,129.30537,0.99474806,0.28635317,0.0,20.794405,18.93353,17.312283,16.730701,16.402046,84.32805
51,RMJ232214.8+283115.4,350.56149160184816,28.52093384874184,0.38749996,163.93417,1.1721604,-1.0,0.0,26.238625,19.849434,17.98838,17.265718,17.01596,103.36564
59,RMJ130650.0+463333.4,196.70831678088706,46.55927281084781,0.22913617,122.379616,1.0275583,-1.0,0.0,19.771725,17.59669,16.161217,15.641304,15.339844,88.96
64,RMJ233427.2+065146.0,353.61341183826477,6.862783311139915,0.30980498,137.60408,0.99231446,0.295352,0.0,20.685202,19.082613,17.381073,16.803356,16.410904,98.33771
68,RMJ013716.8+075256.1,24.320160126077667,7.882243008341106,0.28412765,100.19888,1.0276889,0.2576128,0.0,22.844526,19.949362,18.452885,17.904272,17.580954,60.75095
77,RMJ132703.5+534952.2,201.7647299426317,53.83117773154537,0.37974402,34.83132,1.0170922,-1.0,0.0,25.46717,20.149761,18.614033,17.945038,17.573713,24.20414
79,RMJ222602.2+172247.1,336.5092849539111,17.379739277262658,0.11359597,74.280685,1.0099313,-1.0,0.0,19.022427,16.95521,15.911219,15.475521,15.149356,55.628624
81,RMJ132724.2+534656.5,201.85063858272576,53.78234929625666,0.38597882,120.82361,1.0246546,0.41126522,0.0,24.598787,20.50731,18.667418,18.023848,17.557123,80.7847
88,RMJ215021.3-084718.3,327.5889258928229,-8.788427356281481,0.3856206,150.64708,1.1650488,0.39517346,0.0,24.300735,19.761198,18.107422,17.436401,16.989004,87.619865
91,RMJ152745.8+065233.6,231.94095862197884,6.876006759440544,0.37996796,131.86821,1.0631683,0.3872452,0.0,22.570927,20.040192,18.393223,17.761814,17.316757,85.36496
92,RMJ021952.2+012952.2,34.96731211051281,1.4978336251720632,0.36417052,127.03239,1.0200925,0.365013,0.0,22.234655,19.607744,17.849936,17.252018,16.823156,79.78328
