index,NAME,RA,DEC,LAMBDA,Z_SPEC,pix
0,RMJ100214.1+203216.6,150.55890608070382,20.537949366927048,151.36407,0.31961888,10
1,RMJ113613.0+400235.8,174.05435379455596,40.043272298621616,155.13205,0.29043645,7
2,RMJ160319.0+031644.6,240.82910986199246,3.2790478607796962,132.08178999999998,0.22219734,2
3,RMJ010455.4+000336.3,16.230713631398995,0.060093083024781925,128.67991999999998,0.2721152,36
4,RMJ124922.1+494742.1,192.3420829362044,49.79503970710243,129.30536999999998,0.28635317,7
5,RMJ211849.1+003337.2,319.70445737476336,0.5603428343103302,120.28969,0.27648670000000003,35
6,RMJ132701.0+021219.5,201.75420950276046,2.2054218806332626,115.16402,0.26011485,15
7,RMJ013716.8+075256.1,24.32016012607767,7.882243008341106,100.19888,0.2576128,36
8,RMJ115353.2+425213.2,178.47159147083389,42.87034577021864,117.05563,0.33426642,7
9,RMJ091617.6-002405.7,139.07315528677307,-0.4015762682731477,110.938385,0.31796968,8
10,RMJ105417.5+143904.2,163.5730968002746,14.651168356742813,125.01873,0.2994365,11
11,RMJ132724.2+534656.5,201.85063858272576,53.782349296256655,120.82361000000002,0.41126522,7
12,RMJ215021.3-084718.3,327.5889258928229,-8.788427356281481,150.64708000000005,0.39517346,33
13,RMJ152745.8+065233.6,231.94095862197884,6.876006759440544,131.86821,0.3872452,2
14,RMJ021952.2+012952.2,34.96731211051281,1.4978336251720632,127.03239,0.365013,37
15,RMJ082944.9+382754.4,127.43721549226255,38.465112560073926,145.68922,0.39185145,27
16,RMJ001938.7+033557.3,4.911069186700388,3.5992569126673364,108.60438,0.26907504,38
17,RMJ151514.1+042310.4,228.80879769402281,4.386217797780727,75.729904,0.094680585,2
18,RMJ234437.7+030503.6,356.1571905640894,3.0843211733922846,139.17533999999998,0.34974605,38
19,RMJ075613.3+301356.4,119.05552323533595,30.232331627634416,147.03166000000004,0.44108585,27
20,RMJ161610.2+065504.4,244.0423671483488,6.917901644385108,120.56428,0.34066302,2
21,RMJ231912.2-022704.4,349.8008101027248,-2.4512182171440147,70.10082,0.10932119,33
22,RMJ122651.1+214952.3,186.71297107030225,21.831201234692568,178.50267,0.4379413,11
23,RMJ153641.2-020125.2,234.17178374899188,-2.0236755390906205,81.95393,0.14353341,2
24,RMJ093515.3+004746.0,143.81357826104534,0.7961192442362642,118.64215,0.35826087,9
25,RMJ143026.4+243711.3,217.60998832428777,24.61980382359407,78.32325,0.13557237,3
26,RMJ092229.1+545947.3,140.62124137239124,54.996458978834454,84.82186999999998,0.18362965,5
27,RMJ140358.9+154409.6,210.9952639833258,15.735987214638598,81.72511,0.18019523,3
28,RMJ000343.8+100123.8,0.9324948495495278,10.023269846272967,131.42581,0.3743051,38
29,RMJ133649.4+102624.1,204.20577641853038,10.440019004466864,82.68616999999998,0.1551845,15
30,RMJ092121.1+031713.2,140.3379643256792,3.2870090443170112,120.27443,0.3512842,8
31,RMJ122241.3+020558.9,185.6720934931271,2.0997009148511507,95.18,0.22866239,15
32,RMJ153303.5-004616.5,233.26477778413937,-0.7712502474892479,79.5284,0.151777,2
33,RMJ121731.2+364111.3,184.37982555505369,36.68645842804701,125.8425,0.36553648,7
34,RMJ132722.9+033745.1,201.84549713948246,3.629195635850618,96.20208,0.22466692,15
35,RMJ082319.3+155745.8,125.83033267095192,15.96272470961174,82.07597,0.15255272,10
36,RMJ115049.1+621948.4,177.70470308658378,62.33010963949642,113.10459,0.34522048,7
37,RMJ113804.2+275838.3,174.5176015745367,27.97729818308859,116.567474,0.44741425,11
38,RMJ111514.8+531954.6,168.8118656245974,53.33182359555929,184.81822,0.4664212,7
39,RMJ084617.5+050803.8,131.5727437563899,5.134378654131286,94.98168,0.2365112,8
40,RMJ121756.8+204016.9,184.48662777963824,20.67136752278499,89.71871999999998,0.20075789,11
41,RMJ010032.8+044900.5,15.136647164563158,4.8167927426084285,115.25555,0.341505,36
42,RMJ003321.6+102725.7,8.339866462991099,10.457140859821095,142.47041000000004,0.4367538,38
43,RMJ130400.9+673023.9,196.00366462936557,67.5066435660826,90.05433000000002,0.2212388,6
44,RMJ145058.7+311742.0,222.74462613880263,31.29499444192225,75.28751,0.16570234,3
45,RMJ082605.8+401731.1,126.52400684841083,40.291977921564815,137.72612,0.40219858,27
46,RMJ083539.7+365225.5,128.91552313766326,36.873761455891426,98.780174,0.29157805,10
47,RMJ102108.8+144603.6,155.2866704709054,14.767664392406068,83.05229,0.24245864,11
48,RMJ134347.5+094652.4,205.94801009792968,9.781220228794457,73.54845,0.21168223,15
49,RMJ072646.8+423150.5,111.69480309714741,42.530683627099954,65.69213,0.18237486,27
50,RMJ212107.6+051944.0,320.2817146187012,5.328886382928081,74.32645,0.14540547,33
51,RMJ094024.6+022839.5,145.1024352261395,2.4776433377429177,62.732666,0.15298745,9
52,RMJ122147.0+074823.5,185.4457433799524,7.806530990245651,67.00406,0.13709411,15
53,RMJ221715.8+090310.1,334.315983702489,9.052793669803416,98.490326,0.28823164,33
54,RMJ012713.6+002206.2,21.806780682788315,0.3683824789556343,107.64331,0.33799179999999995,36
55,RMJ092200.5+515521.0,140.5021024446225,51.922499840329436,91.854416,0.20396967,5
56,RMJ080747.3+394635.6,121.94717559188804,39.77655630784068,125.72046,0.36969367,27
57,RMJ133029.5+490847.9,202.62275243964473,49.14663461908693,117.89465,0.3314328,7
58,RMJ143821.9+034013.2,219.59111370967875,3.670346392730128,80.489456,0.22467905,13
59,RMJ234335.7+001951.3,355.89862430637163,0.3309302019272366,78.58259,0.26943725,33
60,RMJ134502.1-024838.0,206.2585909749629,-2.810568311392039,197.57138,0.52037805,15
61,RMJ081545.8+100410.7,123.94099276150507,10.069641727964427,95.43933,0.2772374,8
62,RMJ011717.7+154516.9,19.323842848876488,15.754706183149311,93.181595,0.34496918,36
63,RMJ224715.8-030147.0,341.8157147386808,-3.0297221844497155,80.01655600000002,0.18249871,33
64,RMJ081659.3+490141.1,124.24715600041452,49.028086349200144,105.416084,0.35895228,5
65,RMJ085023.9+001536.4,132.59971858822274,0.2601200744886376,68.40751999999999,0.19607635,8
66,RMJ092346.3+084058.8,140.94279660515414,8.683010182132776,64.89887,0.13090296,8
67,RMJ081018.2+181518.1,122.57587657064808,18.255028578651558,122.242325,0.42180753,10
68,RMJ111456.8+592649.3,168.73673658814369,59.44702947234783,93.16634,0.35886356,7
69,RMJ082959.5+561944.5,127.49773905910564,56.3290373227289,98.841194,0.27079877,5
70,RMJ100406.9+204910.4,151.02891642163655,20.819556577936183,93.273125,0.31243062,10
71,RMJ084231.1+474918.6,130.6294969503746,47.821838282390594,104.973694,0.38171563,5
72,RMJ103250.4+135242.5,158.21007714820757,13.878480583916733,91.732376,0.3152054,11
73,RMJ085940.1+611938.0,134.91727692850088,61.32722082961346,78.03341,0.2537103,5
74,RMJ235538.8+014555.0,358.91160430600587,1.7652663574060532,83.3879,0.22588354,38
75,RMJ122214.9+402759.3,185.56188505956328,40.46646219873503,101.90744,0.31321198,7
76,RMJ142921.1+230630.0,217.33799376643464,23.10832912159709,58.53755,0.13480453,3
77,RMJ151738.7+152123.6,229.41115782253544,15.35655517554192,86.499916,0.34496224,2
78,RMJ215427.3+003834.1,328.6135496593841,0.6427939531341382,84.88289,0.22119986,33
79,RMJ010101.5-095717.1,15.256445462994833,-9.954742782288523,63.449654,0.15044478,36
80,RMJ152138.4+320712.5,230.4100562296104,32.120127447921355,57.912094,0.11341745,3
81,RMJ151253.9+141814.2,228.2247555752496,14.303951093524773,67.17187,0.18031828,2
82,RMJ112815.4+254922.6,172.0640233069248,25.82293531702648,106.36189,0.33992344,11
83,RMJ143740.3+301200.3,219.4178982326761,30.20007920968648,97.60554,0.33983114,3
84,RMJ121106.6+284743.2,182.77737163411427,28.795322389121328,105.40083,0.39730233,11
85,RMJ143321.8+292701.3,218.3409807782051,29.45037440805153,80.764046,0.22082463,3
86,RMJ110455.5+472515.6,166.23145049284113,47.42101288520093,73.13656,0.21877946,7
87,RMJ140240.4+174522.8,210.66822871550488,17.75632211513427,62.686905,0.19133049,3
88,RMJ081751.8+302109.2,124.46590519836832,30.35255008732456,119.96933,0.4094326,10
89,RMJ124150.3+194655.9,190.45976022697246,19.782202782584875,91.976456,0.28660524,15
90,RMJ163509.2+152951.5,248.78848636394585,15.497636327531435,143.08061,0.47448984,2
91,RMJ144032.0-013727.1,220.13341330676081,-1.62418757631147,88.83393000000002,0.32227212,13
92,RMJ112951.5+025616.7,172.46469947626252,2.937972652374772,84.97442,0.22713777,9
93,RMJ092207.6+034558.8,140.53187200525454,3.76632940215769,96.72075,0.27013728,8
94,RMJ004511.7+084111.0,11.298848605027954,8.686376099296877,96.58346,0.29164845,38
95,RMJ112659.2+234420.3,171.74673846399438,23.738971858798187,92.11375,0.30025145,11
96,RMJ142334.3+162840.1,215.89285895602225,16.477798457779667,73.41115,0.23599586,3
97,RMJ094724.2+380845.9,146.85085849298787,38.14607394439294,137.69562,0.45155537,10
98,RMJ091821.4+611029.6,139.5892214503993,61.17489721119409,83.11331,0.2794803,5
99,RMJ002307.2-000348.6,5.780111977150966,-0.06350509606867402,49.170998,0.16111502,36
100,RMJ002510.9+080756.5,6.295421498484076,8.132370513818138,68.13293,0.18613274,38
101,RMJ110608.5+333339.7,166.53535341726058,33.56102371348592,167.24448999999996,0.48811108,11
102,RMJ103120.5+140534.3,157.83527714064257,14.092870207011291,89.59668,0.31879646,11
103,RMJ103034.8+141541.8,157.64494027133966,14.261607250427227,85.874466,0.3173786,11
104,RMJ094110.2+123413.8,145.29230354735324,12.57049580867383,71.41275,0.18003608,10
105,RMJ115319.3+075557.0,178.33024411841419,7.932494639319433,119.16082,0.42970052,11
106,RMJ011227.8+033302.0,18.11587251870889,3.5505486870529515,121.83044,0.4006502,36
107,RMJ094655.3+151126.5,146.73028244800727,15.190685794046914,76.29434,0.2406286,10
108,RMJ084605.8+365654.4,131.52415076915779,36.94843215294033,83.18959,0.28636032,10
109,RMJ082930.6+370143.1,127.3775452249858,37.02864194895725,78.4758,0.32396904,27
110,RMJ162332.8+272149.2,245.8866421058844,27.363663093723968,132.63097,0.4286144,3
111,RMJ114551.8-022010.5,176.46580071321122,-2.3362479351930587,53.48815,0.121508844,14
112,RMJ084527.8+032738.9,131.3656953047443,3.4608063875877417,90.16111,0.32891917,8
113,RMJ120435.1+035723.1,181.1464047218544,3.9564206131855975,68.56007,0.16266395,14
114,RMJ113825.4+270221.2,174.60567644837727,27.039225989817176,84.9134,0.30827835,11
115,RMJ121937.2-031834.2,184.9050072061716,-3.3095125435938284,87.781334,0.30000347,14
116,RMJ113608.5+201913.0,174.0356000127671,20.32027318322177,84.94391,0.31336132,11
117,RMJ144415.9+355713.1,221.06605124741023,35.95362562270128,97.34621,0.35281935,3
118,RMJ115949.9+282051.9,179.95796173999105,28.347738323595546,98.368286,0.33671585,11
119,RMJ103652.7+445235.0,159.2194344698466,44.87639118080577,58.140923,0.12359836,5
120,RMJ012900.7-084520.2,22.25282441748736,-8.755604808670276,93.730774,0.35849252,36
121,RMJ153521.7+372345.8,233.84050489542182,37.396055343540134,54.20514,0.1536661,1
122,RMJ015716.0-000718.2,29.31663723665525,-0.12171413165781607,101.1752,0.38782883,36
123,RMJ143201.0+293253.3,218.0041126552388,29.548137473409227,86.10329,0.21909827,3
124,RMJ093356.0+385239.0,143.4834801346662,38.877509457812025,68.666855,0.24556407,10
125,RMJ073720.9+351741.7,114.33720906162355,35.29491907023847,76.1723,0.21040428,27
126,RMJ081305.4+292014.8,123.27251428522725,29.337453838832012,97.23942,0.37274757,10
127,RMJ145656.7+064650.9,224.2363408473141,6.780796727198579,85.70666,0.3123292,2
128,RMJ230739.9+013055.8,346.9162601030725,1.5155092100714385,107.93316000000002,0.3881683,33
129,RMJ154126.5+044355.2,235.36044301080486,4.731995586641538,53.38137,0.10939936,2
130,RMJ084229.7+081808.2,130.62388650354953,8.302270549029991,80.626755,0.21568167,8
131,RMJ154833.7+360535.7,237.1405341856728,36.09323679843965,87.93388,0.23817937,1
132,RMJ110310.9+041837.9,165.79529432451758,4.310533809273719,87.079605,0.32571313,9
133,RMJ223258.6-090335.0,338.24410601379503,-9.059714109915054,73.82304,0.2526706,32
134,RMJ153519.5+342128.7,233.83108140443687,34.35797233346939,82.82347,0.234746,3
135,RMJ234517.1-030238.9,356.32118688936964,-3.0441301402937264,100.94638,0.31887020000000005,33
136,RMJ025904.4-065921.0,44.768479938629454,-6.989171055673951,117.60481,0.42078066,42
137,RMJ113241.9+541310.4,173.1744785693559,54.21956117582239,98.337776,0.3473926,7
138,RMJ132930.6+224302.3,202.37746516114933,22.71729991578755,105.538124,0.4396404,3
139,RMJ114123.3+003801.1,175.34728588219548,0.6336342197290254,71.01612,0.30976847,9
140,RMJ152346.5+595120.4,230.94364170564987,59.8556711255816,80.565735,0.36183465,6
141,RMJ084902.0+544341.0,132.258449606127,54.72806186016682,93.71552,0.35911435,5
142,RMJ105013.0+052829.5,162.55401486238358,5.4748554571304675,111.94521,0.4188422000000001,9
143,RMJ102535.3+510554.7,156.3968780314481,51.09852490868361,56.600166,0.14188752,5
144,RMJ101346.4+194549.8,153.44342443675146,19.763834172694537,56.12726600000001,0.112411015,11
145,RMJ100838.3+604644.2,152.15945486354963,60.77894892019429,101.93795,0.39897808,5
146,RMJ102257.6+151120.9,155.7399313145637,15.189130806904288,62.595375,0.2555402,11
147,RMJ080757.6+395225.1,121.99004890616231,39.87363152671133,33.244803999999995,0.19182284,27
148,RMJ220107.7+111805.2,330.28211022203146,11.301451919316593,74.402725,0.23816060000000006,33
149,RMJ145038.3+051744.9,222.6597371132242,5.295796640798215,58.552803,0.15945545,2
150,RMJ140233.1+140823.2,210.63771986965358,14.139787888128653,71.70259,0.24612832,15
151,RMJ145917.2+275712.5,224.82156562562986,27.953465725528712,81.42000999999998,0.25385934,3
152,RMJ145506.8+615809.9,223.7784941456913,61.96940329670839,91.884926,0.2741581,6
153,RMJ152459.8+373926.7,231.2491971830933,37.657425379004295,99.741234,0.40004987,3
154,RMJ222409.8+001933.5,336.04089593442404,0.3259735895452938,57.45444499999999,0.14561437,33
155,RMJ103517.2+115959.7,158.82159862658511,11.999911864884627,89.32209,0.32236612,11
156,RMJ103444.9+061030.2,158.68687533848262,6.175059905887313,74.73833499999998,0.30805844,9
157,RMJ121716.1+104411.2,184.31714314034787,10.73643661394778,76.85876999999998,0.28040415,15
158,RMJ120413.8+531526.1,181.05761777277738,53.257253830998486,82.74719,0.305169,7
159,RMJ125258.6+190851.2,193.24400013259282,19.147560765938724,66.71422,0.28638905,15
160,RMJ121632.7+271035.6,184.13620968219945,27.176542778825606,79.05549,0.29262325,11
161,RMJ132627.0+535348.5,201.61232258056583,53.896796593229034,38.263687,0.36470777,7
162,RMJ235457.8+052603.2,358.74080274683814,5.434228140013769,60.856308,0.18176946,38
163,RMJ010407.3+250055.2,16.03031124256421,25.015337935326404,78.90294,0.26079282,38
164,RMJ132827.6+150529.5,202.11487776880531,15.09151950286007,89.88651999999998,0.3549736,15
165,RMJ145318.4+412818.9,223.3267511200237,41.471918697077314,81.75562,0.33477268,3
166,RMJ125827.8+652131.1,194.61600476885656,65.35865194411417,67.76680999999999,0.23407373,6
167,RMJ023848.1-053927.0,39.700533587957416,-5.657513148047057,81.23695,0.29966667,37
168,RMJ123105.0+155611.7,187.77102647646683,15.9365820681049,58.385002,0.19076517,15
169,RMJ024750.3-002841.5,41.95947566453239,-0.4781954618833297,87.15588000000002,0.36115596,37
170,RMJ091539.0+382658.6,138.91253763011264,38.44959807286946,92.601906,0.39618242,10
171,RMJ093208.6+290404.1,143.03589195768896,29.067815263131827,92.20528,0.29957009999999995,10
172,RMJ101510.5+323150.8,153.7936732941738,32.53078161204653,77.19438000000002,0.2881363,10
173,RMJ140451.7+470504.2,211.21536290988453,47.084492114614235,68.590576,0.2378377,6
174,RMJ023909.4-010520.7,39.78927351247654,-1.0890705355736567,108.65014,0.3832849,37
175,RMJ144351.2+174214.7,220.96323193336846,17.70407930270036,58.96469,0.1842209,3
176,RMJ081543.1+323444.2,123.92948576036699,32.578952100864164,105.52287,0.4080566,27
177,RMJ091235.9+163949.5,138.14958167009598,16.663759774740612,88.45255,0.41270813,10
178,RMJ082121.3+251903.0,125.33861582934824,25.31750756265903,73.42641,0.26757035,10
