,Unnamed: 0,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer,pix,theta,phi
0,0,PSZ2 G000.04+45.13,229.190512,-1.0172219999999998,0.1198,3.962411,J1516.5-0056,RMJ151653.9-010506.3,2,0.0007077053612168138,0.7877573624318722
1,1,PSZ2 G000.13+78.04,203.5586828,20.2559905,0.171,5.122391,J1334.1+2013,RMJ133408.7+201453.0,3,0.0024095893999718883,1.362091790336839
2,2,PSZ2 G000.40-41.86,316.08448460000005,-41.3541688,0.1651,5.297053,J2104.3-4120,                    ,34,0.007033718748568652,-0.7306087091403402
3,3,PSZ2 G000.77-35.69,307.9728437,-40.59872539999999,0.3416,6.333562000000001,J2031.8-4037,                    ,16,0.013527288427441735,-0.6230718839449204
4,5,PSZ2 G002.08-68.28,349.6324313,-36.332559,0.14,2.835297,            ,                    ,32,0.03642545507211895,-1.1917381032015133
5,6,PSZ2 G002.42+69.64,210.99331740000002,15.688426699999999,0.180518,3.5104010000000003,            ,RMJ140358.9+154409.6,3,0.04236736192508845,1.215594862865789
6,7,PSZ2 G002.77-56.16,334.6594732,-38.879405600000005,0.1411,4.411132,J2218.6-3853,                    ,34,0.04847685832308223,-0.9803225728733322
7,8,PSZ2 G002.82+39.23,235.0151759,-3.2851352999999994,0.1533,5.7360169999999995,J1540.1-0318,                    ,2,0.04935313523417917,0.6848475617014452
8,11,PSZ2 G003.91-42.03,316.4675077,-38.7531602,0.1521,4.716204,J2106.0-3846,                    ,34,0.06832378029733314,-0.7336660120389583
9,12,PSZ2 G003.93-59.41,338.6080936,-37.741318400000004,0.151,7.194754,J2234.5-3744,                    ,34,0.06862173393518098,-1.036917979137628
10,13,PSZ2 G004.04+42.23,233.27333650000003,-0.6754161999999999,0.151272,3.592052,            ,RMJ153303.5-004616.5,2,0.07062287600976302,0.7371739402429011
11,14,PSZ2 G004.13+56.81,221.86513190000002,8.4516901,0.38,7.122818,J1447.4+0827,RMJ144728.1+082859.9,2,0.0721564231851129,0.9916388656863763
12,15,PSZ2 G004.45-19.55,289.2667301,-33.5415664,0.54,10.356931,            ,                    ,16,0.07770183898239948,-0.3413188687404617
13,16,PSZ2 G005.91-28.26,299.8068699,-34.8917777,0.1728,4.286492,J1959.1-3454,                    ,16,0.10323297334236288,-0.49340262285710157
14,17,PSZ2 G006.05+29.43,244.40612030000003,-7.2624651,0.2523,5.515037,            ,                    ,19,0.10559508151325786,0.5136736906765648
15,19,PSZ2 G006.38+62.03,218.30802830000002,12.4862713,0.23571199999999998,4.813953,            ,RMJ143312.4+122756.8,2,0.11147989992801395,1.0826686540378434
16,20,PSZ2 G006.49+50.56,227.72895,5.7681015,0.0766,7.039484,J1510.9+0543,RMJ151100.1+054658.0,2,0.11342125185211542,0.8824962062996756
17,21,PSZ2 G006.68-35.55,308.70593260000004,-35.8250814,0.0894,4.166683,J2034.7-3548,                    ,34,0.11674044868884607,-0.6205546575209502
